FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1019157,16th Ave Farmers Market,http://16thavefarmersmarket.com,,,,,NE 16th Ave & Broadway,Portland,Multnomah,Oregon,97212,06/03/2018 to 10/28/2018,Sun: 9:00 AM-1:30 PM;,,,,,,,-122.64944,45.534496,,Y,Y,Y,Y,N,-,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,Y,7/5/2018 17:00
1018792,170 Farm Stand,,https://www.facebook.com/CommunityFoodAction/,https://twitter.com/GoodEatsBX,https://www.youtube.com/channel/UCZnt7sSNKIBrn2rMy1RyE_w,https://www.instagram.com/goodeatsbx/,NE Corner of 170th St. & Townsend Avenue,Bronx,Bronx,New York,10452,07/05/2017 to 11/22/2017,Wed: 2:30 PM-6:30 PM;,,,,,,,-73.916786,40.839886,,Y,N,Y,Y,Y,-,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,8/7/2017 16:11
1016782,175th Street Greenmarket,https://www.grownyc.org/greenmarket/manhattan/175th-street,https://www.facebook.com/ManhattanGreenmarkets/,,,,175th Street between Wadsworth & Broadway,New York ,New York,New York,10033,06/29/2017 to 11/22/2017,Tue: 8:00 AM-6:00 PM;,,,,,,,-73.938049,40.846355,,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,12/16/2016 12:06
1003877,17th Ave Market,http://www.iatp.org/minimarkets,,,,,1622 6th St NE,Minneapolis,Hennepin,Minnesota,55413,June to September,Wed:3:00 pm - 7:00 pm;,,,,,,,-93.259102,45.004398,"Faith-based institution (e.g., church, mosque, synagogue, temple)",N,Y,Y,Y,N,-,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/28/2011 14:33
1016784,17th Street Farmers Market,http://enrichmond.org,https://www.facebook.com/17thStreetFarmersMarket/,,,,100 North 17th St.,Richmond ,Richmond City,Virginia,23219,06/08/2017 to ,Thu: 3:00 PM-6:30 PM;,,,,,,,-77.428368,37.533852,,Y,N,N,N,Y,-,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,12/29/2016 12:13
1010968,18th and Christian Farmers' Market,http://thefoodtrust.org/farmers-markets/market/18th-Christian,,,,,18th Street and Christian Street,Philadelphia,Philadelphia,Pennsylvania,19146,06/01/2015 to 11/15/2015,Thu: 3:00 PM-7:00 PM;,,,,,,,-75.173431,39.940945,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 15:33
1009994,18th Street Farmer's Market,,https://www.facebook.com/ScottsbluffFarmersMarket,,,,18th and Broadway,Scottsbluff,Scotts Bluff,Nebraska,69361,06/07/2014 to 09/27/2014,Sat: 8:00 AM-11:00 AM;,,,,,,,-103.66254,41.864269,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,6/29/2016 16:32
1018365,18th Street Farmers Market,,18th Street Farmers Market,,,,825 18th Street,Charleston ,Coles,Illinois,61920,05/20/2017 to 09/30/2017,Sat: 8:00 AM-12:00 PM;,,,,,,,-88.162239,39.490715,,Y,Y,N,Y,Y,-,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,6/23/2017 8:02
1012790,19/27 Community Farmers Market,,https://www.facebook.com/1927-Community-Farmers-Market-1505265436358960/,,,,NE 7th Ave,Chiefland,Levy,Florida,32626,09/03/2016 to 06/24/2017,Sat: 8:30 AM-1:00 PM;,09/02/2017 to 06/30/2018,Sat: 8:30 AM-1:00 PM;,,,,,-82.857872,29.484854,,Y,N,N,N,N,-,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,8/19/2016 16:07
1012158,21 Acres Farm Market,http://21acres.org,https://www.facebook.com/21Acres/,@21acres,21AcresCenter's channel,Instagram @21acres,13701 NE 171st Street,Woodinville,King,Washington,98072,01/01/2016 to 12/31/2016,Wed: 11:00 AM-6:00 PM;Thu: 11:00 AM-6:00 PM;Fri: 11:00 AM-6:00 PM;Sat: 11:00 AM-6:00 PM;,,,,,,,-122.15699,47.75024,,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,6/30/2016 19:50
1010873,21st Street Farmers Market,,,,,,SW 21st and Oakley,Topeka,Shawnee,Kansas,66604,06/05/2015 to 10/30/2015,Fri: 7:30 AM-12:00 PM;,,,,,,,-95.714516,39.028183,,Y,N,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,3/2/2015 10:46
1005309,22nd and Tasker Farmers' Market,http://thefoodtrust.org/farmers-markets/market/22nd-tasker,,,,,22nd and Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,19146,06/01/2015 to 11/01/2015,Tue: 2:00 PM-6:00 PM;,,,,,,,-75.18129,39.932259,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 14:29
1000709,22nd Annual Highlands Business Partnership Farmers Market,http://www.highlandsnj.com,https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770,,,,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,7732,06/25/2016 to 11/05/2016,Sat: 8:30 AM-2:00 PM;,,,,,,,-73.994354,40.404839,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,7/6/2016 14:37
1011881,25th Street Market - North Logan at the Library Summer 2016,http://northloganmarket.com,25th Street Market - North Logan at the Library,,,Instagram: north logan market  (25th Street Market),475 East 2500 North,North Logan,Cache,Utah,84341,05/07/2016 to 10/15/2016,Sun: 9:00 AM-1:00 PM;,,,,,,,-111.8206,41.778244,,Y,N,N,N,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,N,4/18/2016 10:33
1010966,26th and Allegheny,http://thefoodtrust.org/farmers-markets/market/26th-Allegheny,,,,,26th Street and W Allegheny Avenue,Philadelphia,Philadelphia,Pennsylvania,19129,06/01/2015 to 11/15/2015,Wed: 1:00 PM-5:00 PM;,,,,,,,-75.172287,40.004093,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 15:17
1019956,29 Palms Farmers' Market,,https://www.facebook.com/29palmsfarmersmarket/,,,IG @29palmsfarmersmarket,73484 Twentynine Palms Hwy,Twentynine Palms,San Bernardino,California,92277,01/01/2020 to 12/31/2020,Sat: 8:00 AM-1:00 PM;,,,,,,,-116.05894,34.135761,,Y,N,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,7/13/2020 15:57
1005299,29th and Wharton Farmers' Market,http://thefoodtrust.org/farmers-markets/market/29th-wharton,,,,,29th and Wharton Streets,Philadelphia,Philadelphia,Pennsylvania,19146,06/01/2015 to 11/15/2015,Tue: 2:00 PM-6:00 PM;,,,,,,,-75.192039,39.937302,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 14:47
1009959,2nd Street Market - Five Rivers MetroPark,http://www.metroparks.org,https://www.facebook.com/2ndStreetMarket/,,,,600 E. 2nd Street,Dayton,Montgomery,Ohio,45402,01/01/2018 to 05/31/2018,Thu: 11:00 AM-3:00 PM;Fri: 11:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;,06/01/2018 to 12/31/2018,Thu: 11:00 AM-3:00 PM;Fri: 11:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;Sun: 11:00 AM-3:00 PM;,,,,,-84.18103,39.762592,,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,7/26/2018 16:26
1004950,3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,https://www.facebook.com/pages/3-French-Hens-French-Country-Market/422352511143508,,,,123 W. Illinois ave. ,Morris,Grundy,Illinois,60450,05/12/2018 to 10/13/2018,Sat: 8:00 AM-2:00 PM;,11/09/2018 to 11/10/2018,Fri: 4:00 PM-10:00 PM;Sat: 10:00 AM-3:00 PM;,,,,,-88.425186,41.356384,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,N,7/26/2018 16:22
1010775,30A Farmers' Market,,https://www.facebook.com/30aFarmersMarket?ref=hl,,,,Rosmary Beach Town Center,Rosemary Beach,Walton,Florida,32461,01/18/2015 to 01/05/2020,Sun: 9:00 AM-1:00 PM;,,,,,,,-86.002754,30.279016,,Y,N,N,N,N,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,1/16/2015 18:38
1018656,31 & Main Farmers Market at Campus Town,http://www.31mainfarmersmarket.com,https://www.facebook.com/31mainfarmersmarket/,https://www.twitter.com/31mainfarmmarkt,,https://www.instagram.com/31mainfarmersmarket ,1928 Pennington Road,Ewing,Mercer,New Jersey,8618,06/11/2017 to 10/29/2017,Sun: 10:00 AM-2:00 PM;,,,,,,,-74.783287,40.268253,,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,7/12/2017 13:42
1005636,32nd Street/Waverly Farmers Market,http://www.32ndstreetmarket.org,https://www.facebook.com/pages/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall,,,,E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,21218,01/01/2013 to 12/31/2013,Sat: 7:00 AM-12:00 PM;,,,,,,,-76.611,39.327202,,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,7/26/2018 16:47
1005310,33rd and Diamond Farmers' Market,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,,,,,N 33rd and Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,19121,06/01/2015 to 11/01/2015,Thu: 2:00 PM-6:00 PM;,,,,,,,-75.187164,39.988804,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 14:28
1018389,38th & Meridian Farmer's Market ,,,,,,3808 N Meridian St,Indianapolis,Marion,Indiana,46208,06/01/2017 to 09/21/2017,Thu: 4:00 PM-6:30 PM;,,,,,,,-86.157547,39.825558,,Y,N,Y,N,Y,-,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,6/26/2017 8:19
1012280,39 North Marketplace,http://www.39northdowntown.com,39 North ,39North Downtown,,,Downtown Sparks Victorian Ave,Sparks,Washoe,Nevada,89431,06/09/2016 to 08/18/2016,Thu: 4:00 PM-9:00 PM;,,,,,,,-119.75496,39.534775,,Y,Y,Y,Y,N,-,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,7/6/2016 17:19
1019938,3rd Day Farmer's Market,http://www.3rddayfarm.com,facebook/ 3rd Day Farm,,,,3234 S. LaChance Rd,Lake City,Missaukee,Michigan,49651,,Tue: 10:00 AM-5:00 PM;Wed: 10:00 AM-5:00 PM;Thu: 10:00 AM-5:00 PM;Fri: 10:00 AM-5:00 PM;Sat: 10:00 AM-3:00 PM;,,,,,,,-85.29615,44.292953,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,N,N,Y,6/25/2020 11:53
1011213,441 Ministries Farm Stand,,,,,,441 Parsells Avenue,Rochester,Monroe,New York,14609,,Tue: 3:00 PM-7:00 PM;,,,,,,,-77.566605,43.165833,,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,6/8/2015 9:22
1010965,4th and Lehigh Farmers' Market,http://thefoodtrust.org/farmers-markets/market/fairhill-square,,,,,N 4th Street and W. Lehigh Avenue,Philadelphia,Philadelphia,Pennsylvania,19133,06/01/2015 to 11/22/2015,Tue: 1:00 PM-5:00 PM;,,,,,,,-75.138657,39.991749,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 15:11
1006234,4th Street Farmers Market,http://www.4thstreetfarmersmarket.com,,,,,315 East 4th St.,Larimer,,Colorado,,,,,,,,,,-105.073,40.395401,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1006494,52 & Shadeland Avenue Farmers Market,,,,,,5200 N. Shadeland Avenue,Indianapolis,,Indiana,46226,,,,,,,,,-86.0476,39.848099,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1005304,52nd and Haverford Farmers' Market,http://thefoodtrust.org/farmers-markets/market/52nd-haverford,,,,,N 52nd Street and Haverford Avenue,Philadelphia,Philadelphia,Pennsylvania,19139,06/01/2015 to 11/15/2015,Wed: 1:00 PM-5:00 PM;,,,,,,,-75.224495,39.965054,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 14:38
1000060,57th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,W 57 St. & 9 Ave,New York,New York,New York,10019,04/20/2013 to 12/21/2013,Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,,,,,,,-73.98584,40.768158,Other,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 11:06
1005306,58th and Chester Farmers' Market,http://thefoodtrust.org/farmers-markets/market/58th-chester,,,,,58th Street and Chester Avenue,Philadelphia,Philadelphia,Pennsylvania,19143,06/01/2015 to 11/01/2015,Wed: 2:00 PM-6:00 PM;,,,,,,,-75.228302,39.935722,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,3/24/2015 14:35
1018965,61st Street Farmers Market,https://experimentalstation.org/market,61market,61market,,Instagram: ,6100 S. Blackstone Ave,Chicago,Cook,Illinois,60637,05/12/2018 to 12/15/2018,Sat: 9:00 AM-2:00 PM;,,,,,,,-87.590591,41.784081,,Y,N,N,N,Y,-,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,2/23/2018 16:18
1000061,79th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,Columbus - W 78 & 81 Sts.,New York,New York,New York,10024,01/01/2013 to 12/31/2013,Sun: 8:00 AM-5:00 PM;,,,,,,,-73.9757,40.781799,Other,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 10:54
1000062,82nd Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,E 82nd St. - 1st & York Ave,New York,New York,New York,10028,01/01/2013 to 12/31/2013,Sat: 9:00 AM-2:30 PM;,,,,,,,-73.950089,40.77375,Other,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 10:50
1008391,84 west farmers market (Dothan),,,,,,,Dothan,Houston,Alabama,,06/06/2013 to 08/08/2013,Thu: 3:00 PM-6:00 PM;,,,,,,,-85.449944,31.232252,,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,3/15/2014 9:29
1001961,8th Avenue City Farmers Market,,,,,,8th Ave & 2nd St SE,Cedar Rapids,Linn,Iowa,52401,May to October,Tue:4:00 PM - 6:00 PM;Sat:7:30 AM - 12:00 PM;,,,,,,,-91.662651,41.972836,Local government building grounds,Y,Y,N,Y,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,4/25/2012 13:17
1000063,92nd Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,1st Ave - E 92nd & 93 Sts.,New York,New York,New York,10128,06/23/2013 to 11/24/2013,Sun: 9:00 AM-4:00 PM;,,,,,,,-73.946419,40.78093,Other,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 10:43
1000064,97th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,W 97 St. & Columbus,New York,New York,New York,10025,01/01/2013 to 12/31/2013,Fri: 8:00 AM-2:00 PM;,,,,,,,-73.96701,40.79356,Other,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 10:39
1011989,9th and Grand Farmers Market,http://Farmtoforkks.com,,,,,304 West Grand Avenue,Salina,Saline,Kansas,67401,05/10/2016 to 09/27/2016,Tue: 4:00 PM-7:00 PM;,,,,,,,-97.611748,38.852837,,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,5/28/2016 15:39
1000986,9th West Farmers Market/People's Market ,http://www.9thwestfarmersmarket.org,https://www.facebook.com/9thwestfarmersmarket,https://twitter.com/peoplesmarket,,,1060 South 900 West,SALT LAKE CITY,Salt Lake,Utah,84110,05/12/2013 to 10/20/2013,Sun: 9:00 AM-2:00 PM;,06/26/2016 to 08/01/2016,,,,,,-111.91953,40.747017,,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,6/28/2016 1:05
1010617,A + Organic Farmers Market,http://organicgrowndirect.com/,https://www.facebook.com/OrganicProduceDelivery,https://twitter.com/OrganicGrownDr,http://www.youtube.com/user/OrganicGrownDirect,http://organicgrowndirect.com/shop,Lee Rd. Farm,Boynton Beach ,Palm Beach,Florida,33473,,,,,,,,,-80.221054,26.489351,,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,Y,N,Y,Y,N,Y,N,N,Y,9/29/2014 13:37
1009004,A Growers' Market,,,,,,229 Lake Ella Drive,Tallahassee ,Leon,Florida,32303,01/01/2018 to 12/31/2018,Wed: 12:00 PM-6:00 PM;Sat: 11:00 AM-3:00 PM;,,,,,,,-84.279877,30.461952,,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,7/29/2018 12:47
1007585,AAMC Farmers's Market,,,,,,"2001 Medical Parkway, Sajak Pavilion",Annapolis,Anne Arundel,Maryland,21401,,,,,,,,,-76.612297,39.006001,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,7/23/2011 23:54
1004573,Abbeville Farmers Market,,,,,,118 Trinity Street at Livery Stable,Abbeville,Abbeville,South Carolina,29620,06/06/2013 to 10/04/2013,Thu: 4:00 PM-8:00 PM;Fri: 7:00 AM-12:00 PM;,,,,,,,-82.380241,34.177429,Local government building grounds,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,7/11/2013 13:41
